default, 0.0    ,2.0    ,4.0    ,6.0    ,8.0    ,10.0
    0.0, -0.3   ,-0.3   ,-0.3   ,-0.3   ,-0.3   ,-0.3
    0.1, 0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0
    0.2, 0.02   ,0.02   ,0.10   ,0.15   ,0.15   ,0.15
    0.3, 0.05   ,0.08   ,0.25   ,0.35   ,0.35   ,0.35
    0.4, 0.10   ,0.15   ,0.45   ,0.55   ,0.55   ,0.55
    0.5, 0.175  ,0.25   ,0.60   ,0.70   ,0.70   ,0.70
    0.6, 0.25   ,0.35   ,0.72   ,0.82   ,0.82   ,0.82
    0.8, 0.50   ,0.60   ,0.88   ,0.95   ,0.95   ,0.95
    1.0, 1.0    ,1.0    ,1.0    ,1.0    ,1.0    ,1.0
