# traj_defense_25kmh.csv (2026-08-10生成、v2)
# ゆるいコーナー17区間へイン側バイアス(基準1.02m x 採用振幅0.40=0.408m)、
# Laplacian平滑化(alpha=0.15, passes=6)で不連続を除去。
# タイトコーナー2箇所(wp224-230, wp247-257)のcore+-1ptは完全に原形保持(変位0)。
# kaleidoscope.trajectory_clearance(実occupancy_grid_map.yaml+実車体寸法+
# margin[L/R]0.5m,[F/R]0.2m)でclearance検証済み(min_clearance=0.60m)。
# 経緯はdesign_docs opp_lat_pred_overlap_guard_design_20260806.md §47系参照(記録予定)。
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.8036175,43128.8719252,2.8898241,0.0000000,9.8081139,-5.1910739
1.0392392,89656.5447252,43127.8654497,2.8490699,-0.0832612,9.2642786,-1.1713363
2.0179175,89656.2222262,43126.9414337,2.7417736,-0.1316205,9.1370904,-0.3877113
2.9900283,89655.7869433,43126.0722224,2.6053854,-0.1440699,9.0945994,-0.3877113
3.9878011,89655.2183893,43125.2522853,2.4682867,-0.1333460,9.0519090,0.7791217
4.9921826,89654.5412363,43124.5104996,2.3350582,-0.1308544,9.1374949,0.5228389
6.0101924,89653.7616370,43123.8558479,2.2124105,-0.1134684,9.1944816,2.0276300
7.0123349,89652.9254896,43123.3034467,2.1122427,-0.0870686,9.4122198,3.9057897
7.9855209,89652.0704164,43122.8387523,2.0359017,-0.0671045,9.8180449,4.8481531
8.9599322,89651.1857065,43122.4303826,1.9729004,-0.0607953,10.2995660,4.8027450
9.9579784,89650.2560986,43122.0671673,1.9308994,-0.0251430,10.7553420,4.7577623
10.9424666,89649.3304750,43121.7318498,1.8948111,-0.0471274,11.1885578,-3.7026709
11.9414150,89648.3763839,43121.4358632,1.8374474,-0.0671671,10.8529052,-1.8281422
12.9584834,89647.3868212,43121.2009291,1.7613785,-0.0844759,10.6832933,-1.7710401
13.9647246,89646.3915225,43121.0529366,1.6706893,-0.0954205,10.5163708,-1.8122499
14.9644882,89645.3931034,43121.0011056,1.5716240,-0.1022975,10.3427760,-0.4967831
15.9619060,89644.3969487,43121.0512856,1.4665270,-0.1082304,10.2946781,-0.4967831
16.9581504,89643.4131561,43121.2083048,1.3591244,-0.1073649,10.2463544,-0.2127418
17.9524317,89642.4536291,43121.4688874,1.2566594,-0.0982889,10.2255905,1.1258149
18.9482526,89641.5227071,43121.8225022,1.1657587,-0.0837892,10.3349979,2.4303287
19.9509009,89640.6184710,43122.2557006,1.0902637,-0.0672638,10.5673176,3.9820148
20.9546175,89639.7445782,43122.7494194,1.0306231,-0.0518578,10.9373045,4.7392595
21.9538995,89638.9012394,43123.2854644,0.9855788,-0.0379269,11.3619586,4.6948714
22.9566211,89638.0760248,43123.8550885,0.9534899,-0.0263711,11.7675352,4.6508990
23.9529763,89637.2712527,43124.4425111,0.9321555,-0.0165419,12.1559782,4.6073384
24.9338203,89636.4885714,43125.0336668,0.9203509,-0.0072834,12.5289141,4.5641858
25.9124084,89635.7119188,43125.6290199,0.9162768,-0.0010143,12.8877208,4.5214374
26.9025881,89634.9266684,43126.2322095,0.9162535,0.0009481,13.2335782,4.4790894
27.9004586,89634.1347464,43126.8393381,0.9153513,-0.0027669,13.5675061,4.4371380
28.8918468,89633.3496318,43127.4446857,0.9078922,-0.0120772,13.8903934,4.3955796
29.8984553,89632.5599374,43128.0688999,0.8897488,-0.0238573,14.2030207,4.3544103
30.9175519,89631.7759488,43128.7199911,0.8542925,-0.0463882,14.5060783,4.0388825
31.9284281,89631.0295461,43129.4017195,0.7782466,-0.1048068,14.7816225,2.6500026
32.9280341,89630.3664860,43130.1497593,0.6595923,-0.1308221,14.9596561,-1.0392877
33.9310590,89629.8049795,43130.9808846,0.6554045,0.1229923,14.8900879,-1.0392877
34.9263388,89629.1508605,43131.7310248,0.7791284,0.1235892,14.8201932,-0.5278977
35.9290617,89628.4037414,43132.3998045,0.7768176,-0.1292816,14.7845642,1.2132361
36.9161970,89627.7588308,43133.1471507,0.6605092,-0.1038559,14.8663208,3.5565045
37.9064812,89627.1921569,43133.9592735,0.5878517,-0.0428602,15.1034339,4.2307170
38.9038436,89626.6567825,43134.8007639,0.5560693,-0.0210998,15.3807371,4.1910918
39.9046767,89626.1374644,43135.6563197,0.5392020,-0.0127001,15.6505993,4.1518378
40.9038889,89625.6298772,43136.5170056,0.5296893,-0.0063186,15.9134223,4.1129515
41.9032615,89625.1276540,43137.3810180,0.5263388,-0.0003872,16.1695721,4.0744294
42.9036130,89624.6252737,43138.2460712,0.5284490,0.0046080,16.4193832,4.0362681
43.9034648,89624.1191651,43139.1083691,0.5347644,0.0080254,16.6631623,3.9984642
44.9029304,89623.6063530,43139.9662475,0.5438802,0.0102126,16.9011915,3.9610143
45.9024062,89623.0848059,43140.8188555,0.5545652,0.0111635,17.1337311,3.9239153
46.9023315,89622.5535374,43141.6659709,0.5652831,0.0102848,17.3610219,3.8871637
47.9016894,89622.0138942,43142.5071019,0.5745361,0.0082299,17.5832872,3.8507563
48.9007057,89621.4675393,43143.3434810,0.5816534,0.0060085,17.8007346,3.8146899
49.9009554,89620.9154900,43144.1775919,0.5867650,0.0042228,18.0135574,3.7789613
50.9004582,89620.3603387,43145.0087435,0.5902266,0.0027043,18.2219362,3.7435674
51.8986025,89619.8037021,43145.8372648,0.5920126,0.0008699,18.4260400,-12.0496172
52.8977706,89619.2457741,43146.6661516,0.5915760,-0.0017444,17.7607070,-11.9050608
53.8961310,89618.6897410,43147.4953383,0.5883411,-0.0047451,17.0779190,-10.9617331
54.8922576,89618.1388731,43148.3252858,0.5824268,-0.0071282,16.4241521,-10.9608532
55.8870813,89617.5946212,43149.1580306,0.5749021,-0.0079710,15.7433157,-11.0731913
56.8843011,89617.0557028,43149.9970863,0.5668810,-0.0081169,15.0242052,-11.3501059
57.8837465,89616.5224137,43150.8423637,0.5579370,-0.0098331,14.2494980,-10.3102948
58.8797316,89615.9992605,43151.6898877,0.5454943,-0.0150748,13.5073048,-9.1629093
59.8785804,89615.4874419,43152.5476410,0.5259363,-0.0240271,12.8116726,-8.2971093
60.8816610,89614.9943186,43153.4211398,0.4908120,-0.0462331,12.1474513,-7.5860738
61.8819057,89614.5434434,43154.3140008,0.4136820,-0.1082361,11.5066461,-6.9636016
62.8781351,89614.1929411,43155.2465357,0.2839183,-0.1504165,10.8852650,-6.4154791
63.8824657,89613.9846361,43156.2290269,0.2296690,0.0422226,10.2796051,-5.4737947
64.8650742,89613.7407035,43157.1808758,0.2486691,-0.0045627,9.7330950,-4.5187266
65.8312759,89613.5050074,43158.1178887,0.2090504,-0.0777023,9.2576623,-3.9002874
66.7931072,89613.3408575,43159.0656092,0.1198143,-0.1066011,8.8267310,-3.7078705
67.7624448,89613.2744849,43160.0326718,0.0121418,-0.1175212,8.3965777,-4.5420110
68.7214899,89613.3174816,43160.9907526,-0.1097894,-0.1404464,7.8375483,-3.2705711
69.6456273,89613.4803719,43161.9004210,-0.2586183,-0.1790793,7.4089314,-0.2549199
70.5540586,89613.7845720,43162.7564057,-0.4327179,-0.2034418,7.3744770,-0.2549199
71.4499550,89614.2338056,43163.5315312,-0.6102435,-0.1895985,7.3398609,0.0962443
72.3453722,89614.8074077,43164.2191013,-0.7772028,-0.1813686,7.3529493,-1.7106526
73.2477882,89615.4904086,43164.8089015,-0.9541182,-0.2107595,7.1167284,-0.2352087
74.1538442,89616.2760533,43165.2602329,-1.1500199,-0.2207638,7.0836329,-0.2352087
75.0642424,89617.1400644,43165.5471294,-1.3360553,-0.1868947,7.0503820,3.8747872
75.9818752,89618.0474529,43165.6838630,-1.4966469,-0.1664083,7.5795821,4.2681960
76.8873942,89618.9529695,43165.6818021,-1.6520680,-0.1733099,8.1227034,0.0643603
77.7980595,89619.8520292,43165.5368783,-1.8041629,-0.1564801,8.1306154,0.6607222
78.7372231,89620.7479385,43165.2551428,-1.9325322,-0.1204027,8.2114000,4.7596003
79.6845017,89621.6135416,43164.8703467,-2.0355760,-0.0953078,8.7713857,4.9393568
80.6594056,89622.4644138,43164.3944749,-2.1238066,-0.0872145,9.3170002,4.7498031
81.6468670,89623.2818818,43163.8405559,-2.2112269,-0.0916704,9.8131051,2.1921135
82.6260165,89624.0397159,43163.2205389,-2.3003931,-0.0911818,10.0337967,2.0782995
83.5884057,89624.7277706,43162.5476542,-2.3780304,-0.0688076,10.2386380,2.6569595
84.5469092,89625.3672862,43161.8336873,-2.4111658,-0.0000398,10.4946918,3.7323425
85.5247487,89626.0196747,43161.1052923,-2.3888864,0.0444868,10.8441743,4.6302586
86.5271405,89626.7206765,43160.3887827,-2.4408964,-0.1483792,11.2626727,4.7054010
87.5204769,89627.3028898,43159.5839568,-2.5677961,-0.1053146,11.6726011,4.6613299
88.5163484,89627.7989852,43158.7204468,-2.6420954,-0.0440169,12.0649649,4.6176717
89.5144717,89628.2577520,43157.8340028,-2.6761349,-0.0242715,12.4414592,4.5744223
90.5131598,89628.6951522,43156.9361948,-2.6973329,-0.0181932,12.8035160,4.5315780
91.5118450,89629.1161669,43156.0305908,-2.7137458,-0.0146719,13.1523583,4.4891350
92.5107650,89629.5239617,43155.1187001,-2.7269718,-0.0118087,13.4890411,4.4470895
93.5099567,89629.9210781,43154.2018127,-2.7374283,-0.0091252,13.8144823,4.4054379
94.5090531,89630.3097815,43153.2814306,-2.7452055,-0.0064427,14.1294864,4.3641763
95.5081261,89630.6925436,43152.3585871,-2.7502926,-0.0037402,14.4347639,4.3233012
96.5073448,89631.0719097,43151.4341849,-2.7526937,-0.0010663,14.7309457,4.2828089
97.5066483,89631.4503228,43150.5093006,-2.7524600,0.0015342,15.0185953,4.2426959
98.5058336,89631.8301083,43149.5851067,-2.7496423,0.0041066,15.2982188,4.2029586
99.5047568,89632.2135817,43148.6627209,-2.7442011,0.0067873,15.5702727,-0.5407448
100.5035532,89632.6032502,43147.7430728,-2.7359552,0.0097231,15.5355378,-10.1877626
101.5024036,89633.0018531,43146.8272027,-2.7247118,0.0127843,14.8659630,-9.6988127
102.5016884,89633.4122995,43145.9161024,-2.7105061,0.0156426,14.1992162,-9.6179782
103.5016214,89633.8372170,43145.0109444,-2.6929548,0.0194828,13.5055597,-9.6152024
104.5010100,89634.2794413,43144.1147216,-2.6653020,0.0359550,12.7745094,-9.7184720
